iter	RMSE
0	12.9534129
1	12.70770948
2	12.47867905
3	12.27169452
4	12.09814288
5	11.93323762
6	11.77343618
7	11.62352416
8	11.48942435
9	11.37369787
10	11.27236921
11	11.1839669
12	11.0892616
13	11.00053277
14	10.92347865
15	10.84578653
16	10.78688027
17	10.71905755
18	10.66589704
19	10.61072019
20	10.56519183
21	10.52704746
22	10.48267948
23	10.44944955
24	10.4081369
25	10.36911603
26	10.34178602
27	10.31597003
28	10.28626876
29	10.25716859
30	10.22761182
31	10.20755564
32	10.19020146
33	10.17246707
34	10.15350216
35	10.13493508
36	10.12117701
37	10.10605884
38	10.0833947
39	10.06415073
40	10.0512974
41	10.03542869
42	10.01591531
43	10.00477296
44	9.985818417
45	9.969198421
46	9.957067319
47	9.949598657
48	9.932174514
49	9.921393004
50	9.915565152
51	9.90797826
52	9.901615037
53	9.894305017
54	9.879004013
55	9.869930699
56	9.862500931
57	9.85180883
58	9.842666213
59	9.83437863
60	9.826799862
61	9.8142408
62	9.805088098
63	9.797219463
64	9.788251443
65	9.782492004
66	9.77927855
67	9.772896449
68	9.76791291
69	9.757792496
70	9.751417262
71	9.739613375
72	9.730071804
73	9.725497543
74	9.717636473
75	9.710139336
76	9.704863549
77	9.690978725
78	9.683141938
79	9.672296743
80	9.667965733
81	9.663440718
82	9.654131695
83	9.64457631
84	9.637093156
85	9.628365985
86	9.621868229
87	9.61042104
88	9.606019781
89	9.601997974
90	9.597574645
91	9.588922558
92	9.582069812
93	9.5769113
94	9.569413163
95	9.562337692
96	9.555559443
97	9.549219508
98	9.545168484
99	9.541552819
100	9.53493146
101	9.529423017
102	9.525624309
103	9.520897245
104	9.512580047
105	9.506144633
106	9.500911301
107	9.495649254
108	9.490650357
109	9.477413183
110	9.473602816
111	9.46445854
112	9.457450933
113	9.453809091
114	9.449497005
115	9.445091705
116	9.437500606
117	9.429448727
118	9.42440735
119	9.420441974
120	9.414641966
121	9.410217745
122	9.405836268
123	9.40120176
124	9.397477249
125	9.393140394
126	9.386857141
127	9.384697054
128	9.383256141
129	9.376454729
130	9.370494477
131	9.359836683
132	9.354318737
133	9.350982862
134	9.343781406
135	9.338756314
136	9.33380698
137	9.328430098
138	9.318809104
139	9.31101587
140	9.305002156
141	9.298639982
142	9.294801633
143	9.292678073
144	9.289449932
145	9.282274561
146	9.279424186
147	9.274287954
148	9.266178279
149	9.260416616
150	9.255073204
151	9.249484873
152	9.242736068
153	9.23595826
154	9.229356199
155	9.227087724
156	9.222355957
157	9.220069495
158	9.216511748
159	9.209659237
160	9.204510099
161	9.199634089
162	9.192755704
163	9.188588021
164	9.18415436
165	9.178939402
166	9.178041485
167	9.173116174
168	9.170175161
169	9.165662856
170	9.159721669
171	9.148208231
172	9.143791534
173	9.137580435
174	9.135096753
175	9.127321505
176	9.119601444
177	9.115491711
178	9.110324654
179	9.103341394
180	9.098141143
181	9.091950652
182	9.08419659
183	9.077527457
184	9.074802068
185	9.071164425
186	9.065705093
187	9.061228004
188	9.059472985
189	9.057759024
190	9.05460606
191	9.051169936
192	9.047459784
193	9.045117175
194	9.040133417
195	9.036035416
196	9.030212989
197	9.027202036
198	9.023349934
199	9.01696187
200	9.014575923
201	9.008565722
202	9.002661399
203	8.999726443
204	8.994942259
205	8.986683395
206	8.983176853
207	8.976996172
208	8.972749767
209	8.971194028
210	8.963107722
211	8.956735801
212	8.951975166
213	8.949659766
214	8.944636026
215	8.938406411
216	8.934132207
217	8.931853527
218	8.927356059
219	8.924483271
220	8.920102275
221	8.91317751
222	8.904019813
223	8.899784905
224	8.891583905
225	8.887360022
226	8.880356428
227	8.873012512
228	8.871735024
229	8.870088716
230	8.866884789
231	8.863158517
232	8.858738302
233	8.852274721
234	8.850323153
235	8.844450471
236	8.838945997
237	8.835262834
238	8.829327555
239	8.825272927
240	8.821812167
241	8.819950936
242	8.815303444
243	8.812396849
244	8.808746668
245	8.805932637
246	8.802765375
247	8.798360143
248	8.796085637
249	8.794076063
250	8.787316167
251	8.784364906
252	8.781700825
253	8.777281897
254	8.771874736
255	8.769851163
256	8.764669208
257	8.756399032
258	8.754237685
259	8.752358663
260	8.748096438
261	8.745579698
262	8.741444096
263	8.738006751
264	8.734787125
265	8.729481027
266	8.726148197
267	8.724658268
268	8.719830958
269	8.71700329
270	8.710892061
271	8.706280666
272	8.704845079
273	8.701182943
274	8.696766375
275	8.693319138
276	8.687316048
277	8.6832645
278	8.680137607
279	8.677873921
280	8.675900935
281	8.670817829
282	8.668109941
283	8.663439021
284	8.660509754
285	8.656853685
286	8.654530733
287	8.646525586
288	8.643879479
289	8.640648966
290	8.635553117
291	8.634500242
292	8.63180961
293	8.629394033
294	8.62652358
295	8.622288288
296	8.62105734
297	8.614040988
298	8.610664792
299	8.608350487
300	8.606148743
301	8.602700275
302	8.599856309
303	8.596740098
304	8.593740096
305	8.590252139
306	8.583968859
307	8.581561491
308	8.578129553
309	8.576664526
310	8.572388992
311	8.571238355
312	8.569364487
313	8.56641739
314	8.56268304
315	8.559522554
316	8.558244393
317	8.554864762
318	8.552989389
319	8.550772035
320	8.547350065
321	8.545834583
322	8.542636495
323	8.538884547
324	8.535512874
325	8.530909421
326	8.527838126
327	8.523767551
328	8.521193931
329	8.519139434
330	8.515288903
331	8.51275158
332	8.511316767
333	8.506152458
334	8.505355073
335	8.500810284
336	8.499534338
337	8.495798189
338	8.493033964
339	8.489136892
340	8.486767091
341	8.483191297
342	8.479998867
343	8.472907137
344	8.472020932
345	8.469370833
346	8.46615926
347	8.460539536
348	8.457602494
349	8.453920069
350	8.453133704
351	8.450345032
352	8.444007304
353	8.441319568
354	8.439922913
355	8.435875386
356	8.432564879
357	8.429291294
358	8.427315652
359	8.423403929
360	8.420480823
361	8.417572395
362	8.416489075
363	8.414465245
364	8.410436366
365	8.406253744
366	8.403395752
367	8.400606132
368	8.395515527
369	8.393429784
370	8.390429111
371	8.388247956
372	8.386699995
373	8.383399702
374	8.379558162
375	8.376318453
376	8.375033103
377	8.372255225
378	8.368236959
379	8.366503261
380	8.361507434
381	8.35876862
382	8.354847148
383	8.354017018
384	8.350939241
385	8.34921697
386	8.347329531
387	8.344605258
388	8.343368702
389	8.339678862
390	8.337183748
391	8.333770226
392	8.330825977
393	8.329034324
394	8.325824206
395	8.322260087
396	8.320251635
397	8.317867444
398	8.314731358
399	8.312701872
400	8.310444215
401	8.308288162
402	8.302553933
403	8.301920186
404	8.297457095
405	8.295353286
406	8.292767782
407	8.28921877
408	8.28609529
409	8.282564923
410	8.278551823
411	8.273401702
412	8.27154094
413	8.269900477
414	8.266856532
415	8.263145708
416	8.26140315
417	8.259795187
418	8.257114704
419	8.252442443
420	8.250196167
421	8.247812521
422	8.242953271
423	8.239790114
424	8.237616954
425	8.235585362
426	8.234536728
427	8.231091118
428	8.227789779
429	8.225182421
430	8.222612285
431	8.219356448
432	8.216832306
433	8.215866166
434	8.212548306
435	8.208170324
436	8.204839333
437	8.202965211
438	8.199095468
439	8.195274819
440	8.192083468
441	8.19033136
442	8.187036872
443	8.184281496
444	8.180300918
445	8.179630602
446	8.176299694
447	8.174166305
448	8.172413076
449	8.170964771
450	8.169001091
451	8.165270093
452	8.161658659
453	8.159262099
454	8.158213302
455	8.154356647
456	8.152080222
457	8.150088688
458	8.145010941
459	8.143369847
460	8.141023829
461	8.140874098
462	8.138910858
463	8.137855546
464	8.136294841
465	8.134733625
466	8.1309893
467	8.127864304
468	8.125770054
469	8.123376662
470	8.12019145
471	8.116679833
472	8.114523682
473	8.113840764
474	8.111247564
475	8.109108268
476	8.105883136
477	8.103793509
478	8.102161193
479	8.099476982
480	8.096974962
481	8.095402717
482	8.093264838
483	8.09137504
484	8.087649306
485	8.086969959
486	8.085535963
487	8.082544159
488	8.079563299
489	8.077714692
490	8.073096628
491	8.070925875
492	8.070138058
493	8.067199383
494	8.065935062
495	8.064928037
496	8.061408915
497	8.059274338
498	8.057066376
499	8.055189673
500	8.053707291
501	8.049981859
502	8.048729808
503	8.045238384
504	8.043169909
505	8.039738096
506	8.03744401
507	8.035381874
508	8.03280457
509	8.030743762
510	8.028964371
511	8.025587375
512	8.024602051
513	8.022431352
514	8.021212092
515	8.018695588
516	8.015069986
517	8.012844914
518	8.008843302
519	8.00546984
520	8.003595537
521	8.000241299
522	7.998430541
523	7.996092221
524	7.994592864
525	7.991519392
526	7.989163519
527	7.986852195
528	7.985601628
529	7.982908523
530	7.982135499
531	7.980782534
532	7.979057469
533	7.977542228
534	7.975768611
535	7.973345717
536	7.972271505
537	7.971075568
538	7.968712815
539	7.966954164
540	7.965253787
541	7.963921392
542	7.962003369
543	7.959654308
544	7.956371041
545	7.953938675
546	7.952695595
547	7.949452638
548	7.946446663
549	7.945133273
550	7.943949645
551	7.941748163
552	7.940376832
553	7.938500316
554	7.937690789
555	7.936593836
556	7.93531173
557	7.931221201
558	7.930539106
559	7.929469015
560	7.928074769
561	7.926808482
562	7.925144438
563	7.923978567
564	7.921673657
565	7.920602623
566	7.918179411
567	7.916280068
568	7.914910651
569	7.912256224
570	7.910786717
571	7.908169773
572	7.907490765
573	7.90557756
574	7.902945271
575	7.900137668
576	7.898216076
577	7.896008587
578	7.893966141
579	7.891602862
580	7.889333252
581	7.8874689
582	7.884558139
583	7.881918551
584	7.879426564
585	7.877033284
586	7.874358785
587	7.871623996
588	7.869151533
589	7.868379826
590	7.865621559
591	7.864550679
592	7.860189635
593	7.858457682
594	7.857368028
595	7.854789959
596	7.853316057
597	7.85042625
598	7.849015319
599	7.847070735
600	7.845716335
601	7.843263556
602	7.8420136
603	7.840128662
604	7.837951031
605	7.834931694
606	7.834196594
607	7.831831583
608	7.830338274
609	7.827821563
610	7.825945985
611	7.824717536
612	7.823445919
613	7.820960267
614	7.81905499
615	7.817196205
616	7.815367113
617	7.813022489
618	7.811622225
619	7.809312285
620	7.80780953
621	7.806366061
622	7.805344013
623	7.802137564
624	7.799369295
625	7.796804251
626	7.795575365
627	7.794058408
628	7.791110009
629	7.789074769
630	7.786474323
631	7.783282765
632	7.780227066
633	7.778545926
634	7.776778951
635	7.773506484
636	7.770944709
637	7.770518747
638	7.769047327
639	7.767362746
640	7.764664522
641	7.762458579
642	7.759825008
643	7.757449143
644	7.756055919
645	7.752604229
646	7.75129384
647	7.747504971
648	7.745707398
649	7.744895245
650	7.743551194
651	7.741950662
652	7.738031377
653	7.736754942
654	7.735010886
655	7.731558384
656	7.729902073
657	7.728400921
658	7.72705621
659	7.724330203
660	7.722895554
661	7.72125632
662	7.720010311
663	7.717462441
664	7.716298944
665	7.712699081
666	7.709990999
667	7.70843268
668	7.705073952
669	7.70374947
670	7.702045061
671	7.70002094
672	7.699390225
673	7.698174801
674	7.696473475
675	7.694198916
676	7.69304318
677	7.690013667
678	7.687687157
679	7.685469417
680	7.684546696
681	7.683341198
682	7.681550016
683	7.678868972
684	7.676330553
685	7.673734934
686	7.67127228
687	7.66894897
688	7.667616156
689	7.665751587
