iter	Passed	Remaining
0	9	9020
1	15	7581
2	23	7778
3	30	7544
4	36	7266
5	42	7040
6	47	6713
7	53	6632
8	59	6560
9	64	6394
10	70	6367
11	76	6261
12	80	6143
13	87	6190
14	94	6187
15	99	6109
16	105	6093
17	110	6012
18	114	5935
19	121	5929
20	126	5876
21	130	5814
22	136	5794
23	141	5752
24	146	5709
25	152	5715
26	157	5662
27	161	5613
28	166	5578
29	171	5543
30	176	5508
31	182	5521
32	187	5488
33	192	5464
34	197	5443
35	202	5411
36	206	5378
37	212	5385
38	217	5363
39	222	5339
40	227	5311
41	232	5298
42	237	5276
43	246	5357
44	251	5337
45	256	5317
46	261	5295
47	265	5272
48	271	5263
49	276	5261
50	282	5248
51	288	5255
52	296	5306
53	302	5306
54	308	5301
55	313	5289
56	318	5271
57	323	5253
58	328	5244
59	334	5234
60	339	5232
61	344	5218
62	350	5207
63	354	5188
64	360	5179
65	364	5159
66	369	5142
67	373	5124
68	378	5112
69	383	5096
70	388	5080
71	394	5080
72	399	5068
73	403	5053
74	409	5054
75	414	5040
76	419	5025
77	425	5024
78	430	5013
79	435	5002
80	440	4995
81	444	4980
82	449	4967
83	454	4959
84	461	4962
85	465	4951
86	470	4939
87	475	4930
88	480	4916
89	485	4904
90	489	4893
91	495	4886
92	499	4875
93	504	4864
94	510	4862
95	515	4850
96	519	4836
97	525	4833
98	530	4826
99	535	4815
100	539	4806
101	544	4795
102	549	4783
103	554	4773
104	558	4763
105	563	4754
106	568	4743
107	573	4735
108	578	4726
109	582	4716
110	587	4706
111	593	4706
112	599	4702
113	603	4692
114	609	4689
115	614	4680
116	619	4673
117	624	4670
118	629	4662
119	634	4652
120	639	4643
121	643	4634
122	648	4624
123	653	4616
124	658	4608
125	662	4598
126	667	4591
127	673	4588
128	678	4580
129	683	4572
130	688	4565
131	693	4559
132	698	4551
133	703	4545
134	708	4539
135	713	4531
136	718	4523
137	723	4518
138	728	4513
139	733	4508
140	738	4499
141	743	4491
142	747	4482
143	752	4474
144	757	4465
145	762	4458
146	767	4451
147	771	4443
148	777	4437
149	781	4430
150	787	4426
151	792	4422
152	797	4416
153	802	4410
154	808	4405
155	812	4397
156	817	4390
157	823	4386
158	828	4380
159	833	4373
160	837	4366
161	842	4357
162	847	4351
163	852	4344
164	856	4336
165	861	4328
166	866	4320
167	870	4312
168	875	4304
169	879	4296
170	885	4292
171	891	4291
172	896	4285
173	902	4282
174	906	4274
175	911	4268
176	916	4262
177	921	4253
178	926	4250
179	932	4250
180	937	4243
181	942	4236
182	947	4230
183	952	4223
184	956	4215
185	962	4211
186	967	4204
187	971	4197
188	976	4190
189	981	4182
190	985	4175
191	990	4169
192	996	4164
193	1000	4157
194	1005	4150
195	1010	4143
196	1015	4137
197	1019	4129
198	1024	4123
199	1029	4117
200	1033	4110
201	1038	4103
202	1043	4097
203	1048	4089
204	1052	4081
205	1057	4076
206	1062	4069
207	1066	4062
208	1071	4056
209	1076	4049
210	1081	4043
211	1086	4037
212	1091	4031
213	1095	4023
214	1101	4020
215	1106	4016
216	1111	4008
217	1115	4002
218	1120	3995
219	1125	3989
220	1129	3982
221	1134	3976
222	1139	3971
223	1144	3964
224	1149	3958
225	1153	3952
226	1158	3946
227	1163	3940
228	1168	3932
229	1172	3926
230	1177	3919
231	1181	3912
232	1186	3905
233	1191	3901
234	1196	3894
235	1201	3889
236	1206	3884
237	1212	3881
238	1217	3875
239	1222	3870
240	1226	3864
241	1231	3857
242	1236	3851
243	1240	3845
244	1245	3839
245	1250	3832
246	1255	3826
247	1259	3820
248	1264	3814
249	1269	3807
250	1274	3803
251	1278	3796
252	1283	3789
253	1288	3784
254	1293	3778
255	1297	3771
256	1302	3766
257	1307	3760
258	1312	3753
259	1316	3747
260	1321	3742
261	1326	3735
262	1331	3730
263	1335	3724
264	1340	3718
265	1345	3712
266	1350	3706
267	1354	3700
268	1359	3694
269	1364	3688
270	1369	3683
271	1374	3678
272	1378	3671
273	1383	3666
274	1388	3660
275	1394	3657
276	1399	3652
277	1403	3646
278	1409	3642
279	1414	3636
280	1419	3631
281	1425	3630
282	1432	3628
283	1436	3622
284	1441	3616
285	1446	3610
286	1450	3604
287	1457	3602
288	1466	3607
289	1472	3606
290	1478	3601
291	1485	3601
292	1491	3598
293	1498	3598
294	1504	3595
295	1511	3594
296	1517	3591
297	1522	3586
298	1527	3582
299	1533	3578
300	1538	3571
301	1542	3565
302	1548	3561
303	1552	3554
304	1557	3548
305	1562	3544
306	1567	3538
307	1572	3532
308	1578	3529
309	1582	3523
310	1587	3517
311	1593	3512
312	1598	3508
313	1603	3502
314	1609	3499
315	1614	3494
316	1618	3488
317	1623	3482
318	1629	3478
319	1634	3473
320	1639	3467
321	1643	3461
322	1648	3455
323	1653	3450
324	1659	3447
325	1664	3441
326	1669	3435
327	1673	3429
328	1679	3424
329	1684	3419
330	1690	3415
331	1695	3410
332	1700	3406
333	1705	3401
334	1711	3396
335	1716	3391
336	1720	3384
337	1725	3379
338	1730	3374
339	1736	3370
340	1741	3364
341	1745	3359
342	1750	3353
343	1755	3347
344	1760	3342
345	1765	3336
346	1769	3330
347	1774	3325
348	1779	3319
349	1784	3313
350	1788	3306
351	1793	3301
352	1798	3296
353	1803	3291
354	1809	3288
355	1814	3283
356	1819	3277
357	1824	3272
358	1830	3267
359	1835	3262
360	1839	3256
361	1844	3250
362	1849	3244
363	1853	3238
364	1858	3233
365	1863	3227
366	1868	3222
367	1872	3216
368	1877	3211
369	1883	3206
370	1888	3202
371	1893	3196
372	1898	3191
373	1904	3188
374	1909	3183
375	1914	3177
376	1919	3171
377	1924	3166
378	1929	3160
379	1933	3154
380	1938	3149
381	1943	3144
382	1948	3139
383	1953	3134
384	1958	3128
385	1962	3122
386	1967	3116
387	1972	3111
388	1977	3105
389	1981	3099
390	1986	3094
391	1991	3089
392	1996	3083
393	2001	3077
394	2006	3072
395	2011	3067
396	2015	3061
397	2021	3057
398	2026	3051
399	2030	3046
400	2035	3040
401	2040	3035
402	2045	3029
403	2049	3024
404	2054	3018
405	2059	3013
406	2064	3007
407	2069	3002
408	2073	2996
409	2078	2990
410	2083	2985
411	2088	2980
412	2092	2974
413	2097	2968
414	2102	2963
415	2107	2958
416	2112	2953
417	2118	2949
418	2122	2943
419	2127	2938
420	2133	2933
421	2137	2927
422	2142	2922
423	2147	2917
424	2152	2912
425	2156	2906
426	2161	2900
427	2166	2895
428	2171	2889
429	2175	2884
430	2180	2878
431	2185	2873
432	2190	2867
433	2194	2861
434	2199	2856
435	2204	2851
436	2209	2846
437	2214	2840
438	2219	2836
439	2224	2831
440	2229	2826
441	2234	2821
442	2239	2815
443	2244	2810
444	2249	2805
445	2253	2799
446	2258	2794
447	2263	2788
448	2268	2783
449	2272	2778
450	2277	2772
451	2282	2767
452	2287	2762
453	2292	2756
454	2296	2751
455	2301	2745
456	2306	2740
457	2311	2735
458	2316	2729
459	2320	2724
460	2325	2719
461	2331	2714
462	2336	2709
463	2340	2704
464	2346	2699
465	2350	2693
466	2355	2688
467	2360	2683
468	2365	2677
469	2369	2672
470	2374	2667
471	2379	2661
472	2384	2656
473	2388	2650
474	2393	2645
475	2398	2640
476	2403	2635
477	2409	2631
478	2413	2625
479	2418	2620
480	2423	2615
481	2428	2610
482	2433	2605
483	2440	2601
484	2445	2596
485	2449	2590
486	2454	2585
487	2459	2580
488	2464	2575
489	2469	2569
490	2474	2564
491	2478	2559
492	2483	2553
493	2488	2548
494	2492	2543
495	2497	2537
496	2502	2533
497	2508	2528
498	2513	2523
499	2518	2518
500	2523	2513
501	2528	2507
502	2533	2503
503	2538	2498
504	2544	2493
505	2549	2488
506	2553	2483
507	2558	2478
508	2563	2472
509	2567	2467
510	2572	2462
511	2577	2456
512	2582	2451
513	2586	2446
514	2591	2440
515	2596	2435
516	2601	2430
517	2606	2425
518	2612	2420
519	2616	2415
520	2622	2410
521	2626	2405
522	2632	2400
523	2636	2395
524	2642	2390
525	2647	2385
526	2653	2381
527	2658	2376
528	2663	2371
529	2668	2366
530	2672	2360
531	2677	2355
532	2682	2350
533	2687	2345
534	2691	2339
535	2697	2334
536	2702	2329
537	2707	2324
538	2712	2319
539	2716	2314
540	2721	2309
541	2726	2303
542	2731	2298
543	2736	2293
544	2741	2288
545	2746	2283
546	2751	2278
547	2756	2273
548	2760	2268
549	2765	2262
550	2770	2257
551	2775	2252
552	2779	2246
553	2784	2241
554	2789	2236
555	2793	2230
556	2799	2226
557	2804	2221
558	2809	2216
559	2813	2210
560	2819	2206
561	2824	2201
562	2828	2195
563	2833	2190
564	2838	2185
565	2843	2179
566	2847	2174
567	2852	2169
568	2857	2164
569	2862	2159
570	2867	2154
571	2873	2149
572	2879	2145
573	2885	2141
574	2890	2136
575	2895	2131
576	2899	2125
577	2904	2120
578	2909	2115
579	2914	2110
580	2919	2105
581	2923	2099
582	2928	2094
583	2933	2089
584	2938	2084
585	2943	2079
586	2948	2074
587	2953	2069
588	2957	2064
589	2962	2058
590	2967	2053
591	2972	2048
592	2976	2043
593	2981	2037
594	2986	2032
595	2990	2027
596	2995	2022
597	3000	2017
598	3005	2011
599	3010	2006
600	3014	2001
601	3020	1996
602	3025	1991
603	3029	1986
604	3035	1981
605	3040	1976
606	3045	1971
607	3049	1966
608	3054	1960
609	3059	1955
610	3063	1950
611	3068	1945
612	3072	1940
613	3078	1935
614	3083	1930
615	3089	1925
616	3094	1920
617	3098	1915
618	3103	1910
619	3108	1905
620	3113	1900
621	3117	1894
622	3122	1889
623	3127	1884
624	3132	1879
625	3137	1874
626	3141	1869
627	3146	1863
628	3151	1858
629	3156	1853
630	3161	1848
631	3165	1843
632	3170	1838
633	3175	1833
634	3180	1828
635	3185	1823
636	3190	1818
637	3195	1812
638	3199	1807
639	3204	1802
640	3209	1797
641	3213	1792
642	3219	1787
643	3224	1782
644	3229	1777
645	3234	1772
646	3239	1767
647	3243	1762
648	3248	1756
649	3253	1751
650	3257	1746
651	3262	1741
652	3267	1736
653	3272	1731
654	3277	1726
655	3281	1721
656	3286	1715
657	3291	1710
658	3296	1705
659	3302	1701
660	3307	1696
661	3312	1691
662	3317	1686
663	3322	1681
664	3326	1675
665	3331	1670
666	3337	1666
667	3342	1661
668	3347	1656
669	3352	1651
670	3357	1646
671	3362	1640
672	3366	1635
673	3371	1630
674	3376	1625
675	3380	1620
676	3385	1615
677	3390	1610
678	3395	1605
679	3400	1600
680	3405	1595
681	3410	1590
682	3415	1585
683	3421	1580
684	3426	1575
685	3430	1570
686	3436	1565
687	3441	1560
688	3446	1555
689	3451	1550
690	3455	1545
691	3460	1540
692	3465	1535
693	3470	1530
694	3474	1524
695	3479	1519
696	3484	1514
697	3489	1509
698	3493	1504
699	3499	1499
700	3504	1494
701	3509	1489
702	3514	1484
703	3519	1479
704	3524	1474
705	3530	1470
706	3535	1465
707	3541	1460
708	3547	1455
709	3552	1450
710	3556	1445
711	3561	1440
712	3566	1435
713	3571	1430
714	3575	1425
715	3580	1420
716	3585	1415
717	3590	1410
718	3595	1405
719	3600	1400
720	3605	1395
721	3611	1390
722	3615	1385
723	3621	1380
724	3626	1375
725	3631	1370
726	3635	1365
727	3641	1360
728	3647	1355
729	3653	1351
730	3658	1346
731	3663	1341
732	3668	1336
733	3673	1331
734	3678	1326
735	3683	1321
736	3687	1316
737	3692	1310
738	3697	1305
739	3702	1300
740	3707	1295
741	3713	1291
742	3718	1286
743	3722	1280
744	3727	1275
745	3732	1270
746	3737	1265
747	3742	1260
748	3748	1256
749	3752	1250
750	3757	1245
751	3762	1240
752	3766	1235
753	3771	1230
754	3776	1225
755	3781	1220
756	3786	1215
757	3791	1210
758	3795	1205
759	3800	1200
760	3805	1195
761	3810	1190
762	3814	1184
763	3819	1179
764	3825	1175
765	3829	1169
766	3834	1164
767	3839	1159
768	3844	1154
769	3849	1149
770	3856	1145
771	3860	1140
772	3866	1135
773	3872	1130
774	3877	1125
775	3882	1120
776	3886	1115
777	3891	1110
778	3897	1105
779	3901	1100
780	3906	1095
781	3911	1090
782	3916	1085
783	3921	1080
784	3925	1075
785	3930	1070
786	3935	1065
787	3939	1059
788	3944	1054
789	3949	1049
790	3954	1044
791	3959	1039
792	3963	1034
793	3968	1029
794	3973	1024
795	3978	1019
796	3982	1014
797	3987	1009
798	3992	1004
799	3997	999
800	4001	994
801	4006	989
802	4011	984
803	4016	979
804	4022	974
805	4027	969
806	4031	964
807	4036	959
808	4041	954
809	4046	949
810	4051	944
811	4055	939
812	4060	934
813	4065	928
814	4070	923
815	4074	918
816	4079	913
817	4085	909
818	4091	904
819	4095	899
820	4100	894
821	4105	888
822	4110	883
823	4114	878
824	4119	873
825	4124	868
826	4129	863
827	4134	858
828	4138	853
829	4143	848
830	4148	843
831	4153	838
832	4157	833
833	4162	828
834	4167	823
835	4172	818
836	4176	813
837	4181	808
838	4186	803
839	4191	798
840	4196	793
841	4200	788
842	4205	783
843	4210	778
844	4214	773
845	4219	768
846	4224	763
847	4229	758
848	4233	753
849	4238	748
850	4243	742
851	4248	737
852	4253	732
853	4257	727
854	4262	722
855	4267	717
856	4271	712
857	4276	707
858	4281	702
859	4286	697
860	4290	692
861	4296	687
862	4301	682
863	4306	677
864	4312	673
865	4317	668
866	4321	662
867	4326	657
868	4331	652
869	4335	647
870	4340	642
871	4346	637
872	4351	633
873	4356	628
874	4361	623
875	4365	617
876	4370	612
877	4375	607
878	4380	602
879	4384	597
880	4389	592
881	4394	587
882	4399	582
883	4403	577
884	4408	572
885	4414	567
886	4419	563
887	4424	558
888	4429	553
889	4434	548
890	4438	543
891	4444	538
892	4449	533
893	4454	528
894	4459	523
895	4464	518
896	4471	513
897	4479	508
898	4485	503
899	4492	499
900	4499	494
901	4505	489
902	4514	484
903	4522	480
904	4528	475
905	4533	470
906	4538	465
907	4542	460
908	4548	455
909	4553	450
910	4558	445
911	4563	440
912	4568	435
913	4573	430
914	4577	425
915	4582	420
916	4587	415
917	4591	410
918	4596	405
919	4601	400
920	4606	395
